transaction_id,product_id,product_name,region_id,region_name,date,quantity,price_per_unit,total_price
T7421,P003,Vacuum Cleaner,R01,Jakarta,2024-06-16,5,895847,4479235
T9624,P002,Rice Cooker,R05,Makassar,2024-03-25,1,524620,524620
T8967,P001,Blender,R04,Medan,2024-02-24,,579404,2897020
T9843,P002,Rice Cooker,R02,Bandung,2024-01-26,2,362471,724942
T3712,P005,Electric Kettle,R01,Jakarta,2024-02-11,3,848052,2544156
T8355,P004,Air Purifier,R01,Jakarta,2024-04-23,4,581995,2327980
T8218,P002,Rice Cooker,R05,Makassar,2024-02-19,2,524500,1049000
T3267,P004,Air Purifier,R03,Surabaya,2024-02-21,4,727335,2909340
T5670,P003,Vacuum Cleaner,R01,Jakarta,2024-05-12,4,589244,2356976
T4637,P001,Blender,R02,Bandung,21-04-2024,3,671145,2013435
T2337,P004,Air Purifier,R03,Surabaya,2024-03-01,1,635050,635050
T3392,P003,Vacuum Cleaner,R02,Bandung,2024-06-15,1,534165,534165
T1086,P002,Rice Cooker,R01,Jakarta,2024-06-29,3,695404,2086212
T2821,P001,Blender,R01,Jakarta,2024-06-04,3,426130,1278390
T2816,P003,Vacuum Cleaner,R02,Bandung,2024-06-08,,327767,983301
T1025,P004,Air Purifier,R05,Makassar,2024-02-06,5,217233,1086165
T6908,P005,Electric Kettle,R03,Surabaya,2024-01-22,2,798384,1596768
T8702,P001,Blender,R05,Makassar,2024-01-06,5,731971,3659855
T2698,P001,Blender,R04,Medan,2024-01-18,3,465971,1397913
T8612,P005,Electric Kettle,R03,Surabaya,2024-06-13,2,246489,492978
T1717,P004,Air Purifier,R02,Bandung,2024-01-10,2,266165,532330
T1599,P002,Rice Cooker,R01,Jakarta,2024-05-19,3,525138,1575414
T8159,P002,Rice Cooker,R03,Surabaya,2024-02-01,3,250126,750378
T9507,P004,Air Purifier,R04,Medan,2024-05-07,4,555505,2222020
T6262,P003,Vacuum Cleaner,R01,Jakarta,2024-02-16,4,282760,1131040
T8272,P001,Blender,R01,Jakarta,2024-04-19,3,893024,2679072
T1939,P003,Vacuum Cleaner,R04,Medan,2024-04-21,1,962120,962120
T8179,P001,Blender,R04,Medan,2024-01-08,3,738009,2214027
T1530,P001,Blender,R02,Bandung,2024-04-08,1,447459,447459
T7012,P005,Electric Kettle,R02,Bandung,2024-05-26,4,588984,2355936
T7340,P004,Air Purifier,R03,Surabaya,2024-02-17,3,461736,
T9047,P005,Electric Kettle,R01,Jakarta,2024-06-05,3,472933,1418799
T6236,P002,Rice Cooker,R01,Jakarta,2024-04-23,2,277649,555298
T8141,P005,Electric Kettle,R01,Jakarta,2024-03-12,2,693355,1386710
T4258,P005,Electric Kettle,R02,Bandung,2024-06-12,5,311579,1557895
T4853,P002,Rice Cooker,R01,Jakarta,2024-01-18,5,284002,1420010
T2234,P003,Vacuum Cleaner,R02,Bandung,2024-06-03,2,307798,615596
T5583,P005,Electric Kettle,R02,Bandung,2024-04-14,4,886735,3546940
